,id,soft_voitng,my_labeling,diff
0,TEST_00000,한식,한식,True
1,TEST_00001,한식,한식,True
2,TEST_00002,한식,한식,True
3,TEST_00003,수련시설,수련시설,True
4,TEST_00004,산,산,True
5,TEST_00005,한식,한식,True
6,TEST_00006,바/까페,바/까페,True
7,TEST_00007,한식,한식,True
8,TEST_00008,성,성,True
9,TEST_00009,상설시장,상설시장,True
10,TEST_00010,전시관,전시관,True
11,TEST_00011,한식,한식,True
12,TEST_00012,농.산.어촌 체험,농.산.어촌 체험,True
13,TEST_00013,사찰,사찰,True
14,TEST_00014,한식,한식,True
15,TEST_00015,일식,일식,True
16,TEST_00016,상설시장,상설시장,True
17,TEST_00017,해수욕장,해수욕장,True
18,TEST_00018,폭포,폭포,True
19,TEST_00019,수련시설,수련시설,True
20,TEST_00020,한옥스테이,한옥스테이,True
21,TEST_00021,관광단지,관광단지,True
22,TEST_00022,"야영장,오토캠핑장","야영장,오토캠핑장",True
23,TEST_00023,자연생태관광지,자연생태관광지,True
24,TEST_00024,게스트하우스,게스트하우스,True
25,TEST_00025,유적지/사적지,유적지/사적지,True
26,TEST_00026,일반축제,일반축제,True
27,TEST_00027,한식,이색거리,False
28,TEST_00028,자연생태관광지,자연생태관광지,True
29,TEST_00029,민속마을,민속마을,True
30,TEST_00030,공원,공원,True
31,TEST_00031,성,성,True
32,TEST_00032,"야영장,오토캠핑장","야영장,오토캠핑장",True
33,TEST_00033,한식,한식,True
34,TEST_00034,농.산.어촌 체험,농.산.어촌 체험,True
35,TEST_00035,미술관/화랑,미술관/화랑,True
36,TEST_00036,다리/대교,다리/대교,True
37,TEST_00037,전문상가,전문상가,True
38,TEST_00038,"야영장,오토캠핑장","야영장,오토캠핑장",True
39,TEST_00039,전시관,전시관,True
40,TEST_00040,트래킹,트래킹,True
41,TEST_00041,항구/포구,항구/포구,True
42,TEST_00042,게스트하우스,게스트하우스,True
43,TEST_00043,"야영장,오토캠핑장","야영장,오토캠핑장",True
44,TEST_00044,"야영장,오토캠핑장","야영장,오토캠핑장",True
45,TEST_00045,테마공원,테마공원,True
46,TEST_00046,농.산.어촌 체험,농.산.어촌 체험,True
47,TEST_00047,바/까페,바/까페,True
48,TEST_00048,한식,한식,True
49,TEST_00049,유적지/사적지,유적지/사적지,True
50,TEST_00050,모텔,모텔,True
51,TEST_00051,한식,한식,True
52,TEST_00052,한식,한식,True
53,TEST_00053,희귀동.식물,희귀동.식물,True
54,TEST_00054,모텔,모텔,True
55,TEST_00055,"야영장,오토캠핑장","야영장,오토캠핑장",True
56,TEST_00056,상설시장,상설시장,True
57,TEST_00057,바/까페,바/까페,True
58,TEST_00058,유명건물,유명건물,True
59,TEST_00059,유적지/사적지,유적지/사적지,True
60,TEST_00060,박물관,박물관,True
61,TEST_00061,한식,한식,True
62,TEST_00062,한옥스테이,한옥스테이,True
63,TEST_00063,펜션,펜션,True
64,TEST_00064,한식,한식,True
65,TEST_00065,채식전문점,채식전문점,True
66,TEST_00066,계곡,계곡,True
67,TEST_00067,유적지/사적지,유적지/사적지,True
68,TEST_00068,사찰,사찰,True
69,TEST_00069,한식,한식,True
70,TEST_00070,전문상가,전문상가,True
71,TEST_00071,카트,카트,True
72,TEST_00072,기타,기타,True
