id,e0,e1,e2,e3,e4,e5,e6,e8,e7,e9,cat3
TEST_00000,118,118,118,118,118,118,118,118,118,118,한식
TEST_00001,118,118,118,118,118,118,118,118,118,118,한식
TEST_00002,118,118,118,118,118,118,118,118,118,118,한식
TEST_00003,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_00004,11,53,53,53,53,53,14,24,24,24,산
TEST_00005,118,118,118,118,118,118,118,118,118,118,한식
TEST_00006,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00007,118,118,118,118,118,118,118,118,118,118,한식
TEST_00008,59,59,59,59,59,59,59,59,59,59,성
TEST_00009,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00010,97,97,97,97,97,97,97,97,97,97,전시관
TEST_00011,118,118,118,118,118,118,118,118,118,118,한식
TEST_00012,20,93,86,40,86,86,86,86,86,86,농.산.어촌 체험
TEST_00013,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00014,118,118,118,118,118,118,118,118,118,118,한식
TEST_00015,91,91,91,91,91,91,91,91,91,91,일식
TEST_00016,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00017,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_00018,116,116,116,116,116,116,116,116,116,116,폭포
TEST_00019,60,60,60,63,60,60,60,60,60,60,수련시설
TEST_00020,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_00021,121,12,12,12,12,12,12,12,12,12,관광단지
TEST_00022,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00023,93,93,120,93,93,120,93,93,93,93,자연생태관광지
TEST_00024,4,4,4,4,4,4,4,4,4,4,게스트하우스
TEST_00025,85,3,85,85,85,85,5,85,85,85,유적지/사적지
TEST_00026,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00027,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_00028,93,93,93,93,93,93,93,93,93,93,자연생태관광지
TEST_00029,86,20,10,40,40,40,40,40,40,40,민속마을
TEST_00030,11,11,11,11,93,11,11,11,11,11,공원
TEST_00031,59,59,59,59,59,59,59,59,59,59,성
TEST_00032,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00033,118,118,118,118,118,118,118,118,118,118,한식
TEST_00034,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00035,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_00036,21,21,21,21,21,21,21,21,21,21,다리/대교
TEST_00037,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_00038,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00039,97,97,97,97,97,97,97,97,97,97,전시관
TEST_00040,53,53,112,112,112,112,112,112,112,112,트래킹
TEST_00041,120,120,120,120,120,120,120,120,120,120,항구/포구
TEST_00042,4,4,4,4,4,4,4,4,4,4,게스트하우스
TEST_00043,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00044,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00045,111,111,111,111,111,111,111,111,111,111,테마공원
TEST_00046,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00047,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00048,118,118,118,118,118,118,118,118,118,118,한식
TEST_00049,85,85,118,85,85,85,85,85,85,85,유적지/사적지
TEST_00050,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00051,118,118,118,118,118,118,118,118,118,118,한식
TEST_00052,118,118,118,118,118,118,118,118,118,118,한식
TEST_00053,20,20,86,93,93,3,86,40,40,40,희귀동.식물
TEST_00054,115,31,72,115,115,115,115,115,115,115,모텔
TEST_00055,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00056,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00057,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00058,97,86,86,82,86,123,123,123,123,123,유명건물
TEST_00059,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00060,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00061,118,118,118,118,118,118,118,118,118,118,한식
TEST_00062,119,119,31,119,119,119,119,119,119,119,한옥스테이
TEST_00063,115,115,115,115,115,115,115,115,115,115,펜션
TEST_00064,118,118,118,118,118,118,118,118,118,118,한식
TEST_00065,91,118,57,118,118,91,91,101,101,101,채식전문점
TEST_00066,116,5,5,5,5,5,5,5,5,5,계곡
TEST_00067,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00068,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00069,118,118,118,118,118,118,118,118,118,118,한식
TEST_00070,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_00071,80,104,104,104,104,104,104,104,104,104,카트
TEST_00072,18,18,18,18,18,18,18,18,18,18,기타
TEST_00073,59,59,6,6,6,6,6,6,6,6,고궁
TEST_00074,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00075,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00076,11,84,84,84,84,84,84,84,84,84,유원지
TEST_00077,21,21,21,21,21,21,21,21,21,21,다리/대교
TEST_00078,112,86,86,21,21,112,112,86,112,86,트래킹
TEST_00079,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00080,31,31,83,83,83,83,83,83,83,83,유스호스텔
TEST_00081,6,32,6,32,32,32,32,32,6,32,문
TEST_00082,57,57,57,57,57,57,57,57,57,57,서양식
TEST_00083,118,118,118,118,118,118,118,118,118,118,한식
TEST_00084,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00085,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00086,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_00087,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00088,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00089,118,100,100,118,118,118,118,118,118,118,한식
TEST_00090,11,11,11,11,11,11,11,11,11,11,공원
TEST_00091,118,118,118,118,118,118,118,118,118,118,한식
TEST_00092,73,118,73,73,73,118,118,118,73,118,한식
TEST_00093,119,119,126,119,119,119,119,119,119,119,한옥스테이
TEST_00094,57,57,57,57,57,57,57,57,57,57,서양식
TEST_00095,118,118,118,118,118,118,118,118,118,118,한식
TEST_00096,20,20,20,86,86,86,20,20,20,20,농.산.어촌 체험
TEST_00097,53,53,53,53,53,53,53,53,53,53,산
TEST_00098,90,90,90,19,19,19,19,19,19,19,기타행사
TEST_00099,118,118,118,118,118,118,118,118,118,118,한식
TEST_00100,118,118,118,118,118,118,118,118,118,118,한식
TEST_00101,118,118,118,118,118,118,118,118,118,118,한식
