,nomal,focal
0,한식,한식
1,한식,한식
2,한식,한식
3,수련시설,수련시설
4,산,공원
5,한식,한식
6,바/까페,바/까페
7,한식,한식
8,성,성
9,상설시장,상설시장
10,전시관,전시관
11,한식,한식
12,이색거리,이색거리
13,사찰,사찰
14,한식,한식
15,일식,일식
16,상설시장,상설시장
17,해수욕장,해수욕장
18,폭포,폭포
19,수련시설,수련시설
20,한옥스테이,한옥스테이
21,해수욕장,해수욕장
22,"야영장,오토캠핑장","야영장,오토캠핑장"
23,자연생태관광지,자연생태관광지
24,게스트하우스,게스트하우스
25,자연생태관광지,계곡
26,일반축제,일반축제
27,이색거리,이색거리
28,자연생태관광지,자연생태관광지
29,민속마을,민속마을
30,공원,공원
31,성,성
32,"야영장,오토캠핑장","야영장,오토캠핑장"
33,한식,한식
34,이색거리,농.산.어촌 체험
35,미술관/화랑,미술관/화랑
36,다리/대교,다리/대교
37,전문상가,전문상가
38,"야영장,오토캠핑장","야영장,오토캠핑장"
39,전시관,전시관
40,트래킹,산
41,항구/포구,항구/포구
42,게스트하우스,게스트하우스
43,"야영장,오토캠핑장","야영장,오토캠핑장"
44,"야영장,오토캠핑장","야영장,오토캠핑장"
45,테마공원,테마공원
46,농.산.어촌 체험,농.산.어촌 체험
47,바/까페,바/까페
48,한식,한식
49,한식,한식
50,모텔,모텔
51,한식,한식
52,한식,한식
53,유적지/사적지,민속마을
54,펜션,펜션
55,"야영장,오토캠핑장","야영장,오토캠핑장"
56,상설시장,상설시장
57,바/까페,바/까페
58,유명건물,유명건물
59,유적지/사적지,유적지/사적지
60,박물관,박물관
61,한식,한식
62,한옥스테이,한옥스테이
63,펜션,펜션
64,한식,한식
65,일식,한식
66,계곡,자연생태관광지
67,유적지/사적지,유적지/사적지
68,사찰,사찰
69,한식,한식
70,전문상가,전문상가
71,복합 레포츠,래프팅
72,기타,기타
73,고궁,성
74,"야영장,오토캠핑장","야영장,오토캠핑장"
75,바/까페,바/까페
76,유원지,유원지
77,자연생태관광지,다리/대교
78,자연생태관광지,트래킹
79,"야영장,오토캠핑장","야영장,오토캠핑장"
80,유스호스텔,유스호스텔
81,문,고궁
82,서양식,서양식
83,한식,한식
84,일반축제,일반축제
85,"야영장,오토캠핑장","야영장,오토캠핑장"
86,이색거리,이색거리
87,바/까페,바/까페
88,농.산.어촌 체험,농.산.어촌 체험
89,한식,한식
90,공원,공원
91,한식,한식
92,한식,한식
93,한옥스테이,한옥스테이
94,서양식,서양식
95,한식,한식
96,농.산.어촌 체험,민속마을
97,트래킹,트래킹
98,일반축제,일반축제
99,한식,한식
100,한식,한식
101,한식,한식
102,한식,한식
103,카약/카누,카약/카누
104,박물관,박물관
105,한식,한식
106,사찰,산
107,펜션,펜션
108,한식,한식
109,패밀리레스토랑,패밀리레스토랑
110,한식,한식
111,바/까페,바/까페
112,유명건물,호수
113,한식,한식
114,이색거리,전시관
115,한식,한식
116,자연생태관광지,자연생태관광지
117,이색거리,이색거리
118,전시관,전시관
119,관광단지,관광단지
120,사찰,사찰
121,"야영장,오토캠핑장","야영장,오토캠핑장"
122,사찰,사찰
123,한식,한식
124,섬,섬
125,박물관,박물관
126,자동차경주,자동차경주
127,한식,한식
128,한식,한식
129,한식,한식
130,골프,골프
131,유적지/사적지,유적지/사적지
132,한옥스테이,한옥스테이
133,기타행사,일반축제
134,"야영장,오토캠핑장","야영장,오토캠핑장"
135,한식,한식
136,상설시장,상설시장
137,한식,한식
138,일반축제,일반축제
139,해수욕장,해수욕장
140,한식,한식
141,바/까페,바/까페
142,한식,한식
143,골프,골프
144,모텔,모텔
145,기념탑/기념비/전망대,기념탑/기념비/전망대
146,한식,한식
147,산,산
148,공원,공원
149,테마공원,테마공원
150,박물관,박물관
151,상설시장,상설시장
152,이색거리,전시관
153,한식,한식
154,농.산.어촌 체험,농.산.어촌 체험
155,전시관,전시관
156,유적지/사적지,유적지/사적지
157,한식,한식
158,공원,공원
159,서양식,서양식
160,다리/대교,다리/대교
161,"공예,공방","공예,공방"
162,"야영장,오토캠핑장","야영장,오토캠핑장"
163,공원,공원
164,한옥스테이,한옥스테이
165,일반축제,일반축제
166,바/까페,바/까페
167,섬,섬
168,"야영장,오토캠핑장","야영장,오토캠핑장"
169,고궁,고궁
170,유적지/사적지,유적지/사적지
171,섬,섬
172,"야영장,오토캠핑장","야영장,오토캠핑장"
173,유명건물,유명건물
174,전시관,전시관
175,전문상가,전문상가
176,성,성
177,한식,한식
178,한식,한식
179,사찰,사찰
180,서양식,서양식
181,기암괴석,기암괴석
182,한식,한식
183,유명건물,유명건물
184,호수,호수
185,한식,한식
186,한식,한식
187,사찰,사찰
188,"야영장,오토캠핑장","야영장,오토캠핑장"
189,일반축제,일반축제
190,사찰,사찰
191,트래킹,트래킹
192,유적지/사적지,유적지/사적지
193,"야영장,오토캠핑장","야영장,오토캠핑장"
194,서양식,서양식
195,일반축제,일반축제
196,한식,한식
197,"야영장,오토캠핑장","야영장,오토캠핑장"
198,온천/욕장/스파,온천/욕장/스파
199,미술관/화랑,미술관/화랑
200,한식,한식
201,한식,한식
202,유적지/사적지,유적지/사적지
203,바/까페,바/까페
204,"야영장,오토캠핑장","야영장,오토캠핑장"
205,수련시설,수련시설
206,수영,수영
207,자연생태관광지,자연생태관광지
208,이색거리,이색거리
209,공원,공원
210,이색거리,이색거리
211,박물관,박물관
212,전문상가,전문상가
213,한식,한식
214,일식,한식
215,한옥스테이,모텔
216,바/까페,바/까페
217,서양식,한식
218,공연장,일반축제
219,유적지/사적지,유적지/사적지
220,한식,한식
221,사찰,사찰
222,한식,한식
223,트래킹,트래킹
224,국립공원,국립공원
225,산,산
226,자연생태관광지,자연생태관광지
227,한식,한식
228,펜션,펜션
229,한식,한식
230,공원,공원
231,한식,한식
232,바/까페,바/까페
233,기암괴석,기암괴석
234,"야영장,오토캠핑장","야영장,오토캠핑장"
235,자연생태관광지,자연생태관광지
236,사찰,사찰
237,"야영장,오토캠핑장","야영장,오토캠핑장"
238,한식,한식
239,산,산
240,강,강
241,"야영장,오토캠핑장","야영장,오토캠핑장"
242,산,산
243,일반축제,일반축제
244,한옥스테이,한옥스테이
245,상설시장,상설시장
246,고궁,문
247,한식,한식
248,모텔,모텔
249,"야영장,오토캠핑장","야영장,오토캠핑장"
250,수영,수영
251,한식,한식
252,한식,한식
253,이색거리,이색거리
254,한식,한식
255,"야영장,오토캠핑장",유원지
256,전시관,전시관
257,"야영장,오토캠핑장","야영장,오토캠핑장"
258,자연생태관광지,자연생태관광지
259,박물관,박물관
260,한식,한식
261,한옥스테이,한옥스테이
262,모텔,모텔
263,항구/포구,항구/포구
264,전시관,전시관
265,자연휴양림,자연휴양림
266,"야영장,오토캠핑장","야영장,오토캠핑장"
267,일반축제,일반축제
268,바/까페,바/까페
269,유원지,유원지
270,한식,한식
271,상설시장,상설시장
272,유적지/사적지,유적지/사적지
273,기념관,기념관
274,미술관/화랑,미술관/화랑
275,모텔,모텔
276,승마,승마
277,서양식,서양식
278,썰매장,테마공원
279,강,유원지
280,이색거리,테마공원
281,일식,일식
282,박물관,박물관
283,공원,공원
284,폭포,폭포
285,자전거하이킹,자전거하이킹
286,스키(보드) 렌탈샵,스키(보드) 렌탈샵
287,박물관,박물관
288,문화원,문화원
289,상설시장,상설시장
290,농.산.어촌 체험,농.산.어촌 체험
291,관광단지,관광단지
292,한식,한식
293,자연생태관광지,산
294,한식,한식
295,"야영장,오토캠핑장","야영장,오토캠핑장"
296,일반축제,일반축제
297,미술관/화랑,미술관/화랑
